# 5: trying to hover at (0, 0, 1) 100 episodees per world, limited to four moves each episode. collision detection exists. Took so long.
episode episodic_reward average_reward world_file timestamp
41 -4241.99833425404 -5232.349951031424 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-16T04:48:29.353435
42 -4246.75772239751 -5232.388749835902 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-16T04:50:22.305874
43 -4254.237044489077 -5001.649819952552 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-16T04:51:29.481865
44 -4243.736683734146 -4851.700528873407 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-16T04:52:41.331557
45 -4267.985923839286 -4728.5921564239015 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-16T04:53:46.876941
46 -4233.84004764612 -4728.575617280759 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-16T04:54:55.337906
47 -4252.861136576793 -4753.456025766871 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-16T04:56:02.755926
48 -4263.906805189112 -4753.868801585057 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-16T04:57:10.898020
49 -4255.215141152419 -4754.45931465505 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-16T04:59:01.837560
50 -6254.881881146421 -4754.649367562138 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-16T05:00:08.103379
51 -5236.510280266733 -4754.537742991977 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-16T05:01:16.729831
52 -4253.505536114361 -4754.993494764788 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-16T05:02:21.512915
53 -3239.793032039683 -4550.662189215073 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-16T05:03:19.602983
54 -4267.5238082964 -4526.194434688339 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-16T05:04:20.916125
